iter	Passed	Remaining
0	30	2980
1	53	2635
2	79	2562
3	106	2553
4	131	2501
5	156	2452
6	183	2432
7	209	2411
8	233	2361
9	257	2318
10	276	2240
11	295	2170
12	315	2111
13	335	2062
14	355	2015
15	380	1996
16	403	1971
17	427	1948
18	459	1956
19	491	1965
20	549	2065
21	632	2243
22	676	2265
23	706	2237
24	730	2190
25	756	2152
26	780	2110
27	807	2076
28	832	2038
29	855	1996
30	880	1960
31	909	1933
32	935	1898
33	943	1832
34	966	1795
35	985	1752
36	1010	1720
37	1033	1685
38	1057	1653
39	1080	1620
40	1105	1590
41	1124	1552
42	1143	1515
43	1162	1479
44	1180	1443
45	1198	1407
46	1206	1360
47	1224	1327
48	1243	1294
49	1263	1263
50	1283	1233
51	1306	1205
52	1325	1175
53	1344	1145
54	1366	1118
55	1385	1088
56	1404	1059
57	1423	1030
58	1443	1002
59	1462	974
60	1479	946
61	1500	919
62	1520	892
63	1540	866
64	1562	841
65	1580	814
66	1599	787
67	1617	761
68	1637	735
69	1656	709
70	1677	685
71	1702	662
72	1722	637
73	1741	611
74	1760	586
75	1778	561
76	1797	536
77	1816	512
78	1836	488
79	1856	464
80	1876	440
81	1895	416
82	1914	392
83	1933	368
84	1951	344
85	1970	320
86	1989	297
87	2008	273
88	2028	250
89	2046	227
90	2068	204
91	2089	181
92	2108	158
93	2127	135
94	2146	112
95	2165	90
96	2185	67
97	2204	44
98	2222	22
99	2242	0
